amostra;valor_unit;area;distancia;condominio
1;166,6666667;420;1500;0
2;171,4285714;700;1650;0
3;214,2857143;420;1300;0
4;216,6666667;600;200;0
5;250;600;700;0
6;261,9047619;420;350;0
7;266,6666667;600;300;0
8;266,6666667;600;200;0
9;305,5555556;360;1000;1
10;316,6666667;300;800;1
11;357,8947368;475;500;0
12;366,6666667;300;700;1
13;366,6666667;300;700;1
14;400;300;500;1
15;416,6666667;300;500;1
16;416,6666667;600;10;0
17;433,3333333;300;450;1
18;433,3333333;300;500;1
19;433,3333333;300;350;1
20;433,3333333;600;200;1
21;443,8526409;450,6;200;1
22;452,3809524;420;10;0
23;458,8815789;608;50;1
24;466,6666667;300;50;1
25;500;300;50;1
26;500;600;10;0
27;550;300;50;1
